date,company_ticker,first_seen,person_id,age,company_founded,company_industry,company_linkedin_url,company_name,company_type,company_website,country,grad_degree_degree,grad_degree_end,grad_degree_major_1,grad_degree_school_location_country,grad_degree_school_name,grad_degree_school_website,grad_degree_start,job_duration,level,next_job_company_founded,next_job_company_industry,next_job_company_linkedin_url,next_job_company_location_country,next_job_company_location_locality,next_job_company_location_name,next_job_company_location_region,next_job_company_name,next_job_company_website,next_job_level,next_job_title,next_job_title_role,next_job_title_sub_role,role,sex,sub_role,title,undergrad_degree_degree,undergrad_degree_end,undergrad_degree_major_1,undergrad_degree_school_location_country,undergrad_degree_school_name,undergrad_degree_school_website,undergrad_degree_start,years_since_grad,years_since_undergrad
2020-02,BOX,2021-01-08,FyUFv0JXvpXxznfy1bBAMg_0000,27,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,2017,computer software,linkedin.com/company/toriihq,united states,new york,"new york, new york, united states",new york,torii,toriihq.com,manager,customer success manager,customer_service,customer_success,customer_service,female,customer_success,customer success manager,bachelors,2015,political science and government,united states,loyola marymount university,lmu.edu,2011,,5
2019-10,BOX,2021-02-18,MEHFIvV8tpmHjAbB7SJGHw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,senior,1958,information technology and services,linkedin.com/company/visa,united states,foster city,"foster city, california, united states",california,visa,visa.com,,staff software engineer,engineering,software,engineering,male,software,senior software engineer,,,,,,,,,
2017-05,BOX,2021-02-18,-MPfcOX6YnRcVb7O9xzFTw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,,,,,,,,buenos aires restaurant,,,hostess,,,,female,,recepcionista,,,creative writing,united states,the new school,newschool.edu,2017,,
2006-02,BOX,2023-11-01,dG-vfXkVrohCTO1I3DvohA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,france,,,,,,,,0,,,,,,,,,conseil departemental de tourisme du loiret,,,assistante communication et relations presse,,,,,,stagiaire communication,,,,,,,,,
2022-10,BOX,2024-03-17,LfhbZDIZ2yYXdiZM6BqJng_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,senior,2011,apparel & fashion,linkedin.com/company/the-realreal,united states,san francisco,"san francisco, california, united states",california,the realreal,therealreal.com,,business development representative,sales,business_development,sales,female,accounts,senior commercial account executive,bachelors,2019,communication,,the ohio state university,,2015,,3
2018-02,BOX,2018-10-11,sXkQaGw7oWFiyAeVaOuyJw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,2007,internet,linkedin.com/company/dropbox,united states,san francisco,"san francisco, california, united states",california,dropbox,dropbox.com,,business development representative,sales,business_development,operations,,,outbound business representative,bachelors,2014,political science and government,united states,uh hrd,uh.edu,2010,,4
2017-12,BOX,2018-11-11,vxem8idILBDCVFmn1XPN0w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,marketing,,university of alabama,,2016,0,,1906,non-profit organization management,linkedin.com/company/apa1906network,united states,baltimore,"baltimore, maryland, united states",maryland,alpha phi alpha fraternity,apa1906.net,director,director of educational activities,education,,,,,box diversity scholarship finalist,,,computer science,,university of alabama,,2016,,
2013-09,BOX,2016-12-25,1SS3fCyX44eQlYh9IpowVQ_0000,33,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,2008,internet,linkedin.com/company/topsy-labs,united states,san francisco,"san francisco, california, united states",california,topsy,topsy.com,,account executive,sales,accounts,sales,male,accounts,account executive - corporate accounts,,,,,,,,,
2019-04,BOX,2019-06-12,alnG5JRjkL2DkvjUPWNpBw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,2005,computer software,linkedin.com/company/varonis,united states,new york,"new york, new york, united states",new york,varonis,varonis.com,,account executive,sales,accounts,sales,male,accounts,enterprise account executive-aquisition,bachelor of applied science,2013,sociology,united states,university of north carolina at chapel hill,unc.edu,2009,,6
2014-08,BOX,2020-03-11,1iI7n32pnSFQH0QMzcDVIw_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,0,training,1958,information technology and services,linkedin.com/company/visa,united states,foster city,"foster city, california, united states",california,visa,visa.com,training,software engineering intern,engineering,software,engineering,female,software,software engineering intern,,,computer science,united states,"university of california, berkeley",berkeley.edu,2012,,
2017-07,BOX,2018-11-11,USNHmPwjhH7Cy0EnLvwM0Q_0000,26,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,1948,apparel & fashion,linkedin.com/company/puma,germany,herzogenaurach,"herzogenaurach, bavaria, germany",bavaria,puma group,puma.com,,puma team faster ambassador,,,health,female,fitness,master trainer,bachelors,2016,studio arts,united states,florida international university,fiu.edu,2014,,1
2007-11,BOX,2020-03-02,D4KDzc-8a6vB23GsK0LwSw_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,argentina,,,,,,,,1,,,,,,,,,revista noche polar,,cxo,fundador y chief executive officer,,,,,,asesor comercial,,,,,,,,,
2019-09,BOX,2019-12-06,BoLbAIsH6JTwp1EFn9uq7w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,senior,2005,computer software,linkedin.com/company/workday,united states,pleasanton,"pleasanton, california, united states",california,workday,workday.com,senior,senior counsel - gtm legal,legal,,,female,,senior commercial counsel,bachelors,2006,legal studies,united states,"university of california, berkeley",berkeley.edu,2004,,13
2022-03,BOX,2023-01-16,6ZnIwBdAoKlWFI8UzTRj0g_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,,broadcast media,linkedin.com/company/fox-corporation,united states,new york,"new york, new york, united states",new york,fox corporation,foxcorporation.com,,talent acquisition coordinator,human_resources,recruiting,,female,,org success specialist,,,,,,,,,
2017-07,BOX,2019-12-07,NxKSeFoOsGcDGNQadOBIQw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,2002,leadership,,,,2000,5,senior,1983,internet,linkedin.com/company/ancestry.com,united states,lehi,"lehi, utah, united states",utah,ancestry,ancestry.com,vp,executive vice president and chief people officer,human_resources,employee_development,human_resources,male,employee_development,"senior vice president, people",bachelors,1991,psychology,,,,1987,15,26
2018-08,BOX,2018-10-11,aY8BKVkHzF3xhokiEDCnhQ_0000,37,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,united states,villanova university,villanova.edu,2013,1,,1983,information technology and services,linkedin.com/company/presidio-,united states,new york,"new york, new york, united states",new york,presidio,presidio.com,senior,senior account manager,sales,accounts,sales,male,accounts,strategic account manager,bachelors,2004,economics,united states,penn state university,psu.edu,1999,,14
2019-03,BOX,2021-02-12,y93kkO3GMRUN8PGXb41xkw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,united states,ucla anderson school of management,anderson.ucla.edu,2019,2,manager,1998,internet,linkedin.com/company/google,united states,mountain view,"mountain view, california, united states",california,google,google.com,training,google cloud professional services - mba intern,engineering,devops,customer_service,female,customer_success,enterprise customer success manager,bachelors,2013,psychology,united states,scripps college,scrippscollege.edu,2009,,6
2021-04,BOX,2021-06-10,lZaJOZcvG5PnzGT0B2aGkA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,2003,computer software,linkedin.com/company/docusign,united states,san francisco,"san francisco, california, united states",california,docusign,docusign.com,,enterprise solution engineer,engineering,,customer_service,male,customer_success,senior enterprise customer success manager - federal,bachelors,2009,business administration,united states,california state university stanislaus,csustan.edu,2006,,12
2021-01,BOX,2021-03-16,tFDNy3ZSft14BaEoay-L9A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,,,,,,,,4,manager,2020,staffing and recruiting,linkedin.com/company/saas-talent-collective,united kingdom,london,"london, greater london, united kingdom",greater london,saas talent collective,saastalentcollective.com,owner,co-founder,,,human_resources,male,recruiting,"recruiting manager, emea",bachelors,2006,marketing,china,manchester metropolitan university,mmu.ac.uk,2002,,15
2019-03,BOX,2019-12-07,MiVfEcLLbnL19Zx609C6GA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,canada,,,,,,,,4,senior,2008,computer software,linkedin.com/company/vendasta,canada,saskatoon,"saskatoon, saskatchewan, canada",saskatchewan,vendasta,vendasta.com,,software developer iii,engineering,software,engineering,male,software,senior software developer,,,,,,,,,
2021-04,BOX,2023-06-01,sB9TMIXhzIDb9pN7OP-ybg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united arab emirates,,,,,,,,2,,2021,,linkedin.com/company/keepcreatingadventures,united kingdom,,united kingdom,,adventure attitude,youtube.com/keepcreatingadventures,,account executive and english teacher and volunteering and full time traveller and content creator,sales,accounts,sales,,accounts,account executive benelux and nordics,bachelors,2013,management,netherlands,hogeschool inholland,inholland.nl,2006,,8
2015-08,BOX,2016-12-25,WDled967HykPoGfuAy4J7g_0000,46,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,1996,business administration,united states,harvard business school,hbs.edu,1994,6,,2006,education management,linkedin.com/company/rafter_inc,united states,san mateo,"san mateo, california, united states",california,"rafter, inc.",rafter.com,manager,"vice president and rafter general manager, head of customer success and operations",customer_service,customer_success,,male,,advisor,bachelor of science in engineering,1990,computer science,united states,university of pennsylvania,upenn.edu,1986,19,25
2020-05,BOX,2022-05-02,JefphGi6uZubgFWOK4zrzg_0000,34,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,manager,2003,computer software,linkedin.com/company/docusign,united states,san francisco,"san francisco, california, united states",california,docusign,docusign.com,manager,senior product marketing manager | esignature,marketing,product,marketing,female,product,senior product marketing manager | collaboration,bachelors,2008,criminology,united states,uc irvine,uci.edu,2004,,12
2021-05,BOX,2021-08-29,lFBUdwZ7YR3M-xOSocCL6A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,masters,2013,design,romania,universitatea tehnică de construcții bucurești,utcb.ro,2011,3,,2013,computer software,linkedin.com/company/databricks,united states,san francisco,"san francisco, california, united states",california,databricks,databricks.com,senior,senior sales operations and deal desk analyst,sales,accounts,,female,,deal desk analyst,bachelors,2011,english,romania,universitatea tehnică de construcții bucurești,utcb.ro,2007,8,10
2022-04,BOX,2022-06-09,ohJYN0l8D5rPp48mNarg2Q_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,,1869,financial services,linkedin.com/company/goldman-sachs,united states,new york,"new york, new york, united states",new york,goldman sachs,goldmansachs.com,,summer risk analyst,,,,female,,bbf fellow,,,,,,,,,
2023-06,BOX,2024-02-26,lLRDQbeqL5EKFUFcpUBqSg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,,,,,,,,1,,,higher education,linkedin.com/company/university-of-bristol,united kingdom,,"bristol, united kingdom",bristol,university of bristol,bristol.ac.uk,,linux support,customer_service,support,engineering,male,,linux engineer,,,,,,,,,
2020-01,BOX,2023-01-16,76KU3--GBztm23xf63EbPA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,,,,,,,,2,senior,,,,,,,,whaley bridge covid19 mutual aid group,,unpaid,"secretary, coordinator and volunteer",,,engineering,,,senior value engineer,,,,,,,,,
2013-12,BOX,2019-12-07,jEnD7lzA9uJd2RnfjG8VCA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,2008,computer software,linkedin.com/company/druva,united states,sunnyvale,"sunnyvale, california, united states",california,druva,druva.com,manager,senior channel sales manager,sales,accounts,sales,male,accounts,major account executive,bachelors,2005,marketing,united states,scu ciocca center,scu.edu,2002,,8
2016-10,BOX,2018-11-11,sBYBYdOJGRSTx5FfMHx7xQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,masters,2011,design,,fullsail university,,2010,0,senior,2004,internet,linkedin.com/company/leeco-us,united states,san jose,"san jose, california, united states",california,leeco us,,,technical recruiter,human_resources,recruiting,,male,,senior technical sourcer,bachelors,2010,communications,united states,florida a&m university,famu.edu,2005,5,6
