date,company_ticker,first_seen,person_id,age,company_founded,company_industry,company_linkedin_url,company_name,company_type,company_website,country,grad_degree_degree,grad_degree_end,grad_degree_major_1,grad_degree_school_location_country,grad_degree_school_name,grad_degree_school_website,grad_degree_start,job_duration,level,next_job_company_founded,next_job_company_industry,next_job_company_linkedin_url,next_job_company_location_country,next_job_company_location_locality,next_job_company_location_name,next_job_company_location_region,next_job_company_name,next_job_company_website,next_job_level,next_job_title,next_job_title_role,next_job_title_sub_role,role,sex,sub_role,title,undergrad_degree_degree,undergrad_degree_end,undergrad_degree_major_1,undergrad_degree_school_location_country,undergrad_degree_school_name,undergrad_degree_school_website,undergrad_degree_start,years_since_grad,years_since_undergrad
2012-09,BOX,2020-03-11,-IJmUhBytQA4TbGpN7toRA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united kingdom,,,,,,,,0,director,1993,marketing and advertising,linkedin.com/company/marketsquare,denmark,copenhagen,"copenhagen, capital region, denmark",capital region,marketsquare a/s,marketsquare.dk,director,events and marketing director,public_relations,events,public_relations,male,events,consultant events director,bachelors,2003,zoology,united kingdom,university of nottingham,nottingham.ac.uk,2000,,9
2014-11,BOX,2020-03-16,SdK7T12NDi6ghXZ8jdI2kA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,germany,,,,,,,,1,director,1982,computer software,linkedin.com/company/symantec,united states,san jose,"san jose, california, united states",california,symantec,symantec.com,manager,channel sales manager,sales,accounts,,male,,"head of channel, central europe",bachelors,1995,business,,"akademie handel, münchen",,1994,,19
2016-01,BOX,2023-12-01,9lsVb7oN9-libK7-2AwB4g_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,4,training,,marketing and advertising,linkedin.com/company/um-ww,united states,new york,"new york, new york, united states",new york,um worldwide,umww.com,,operations consultant,operations,,,female,,project intern,bachelors,2012,,united states,georgia institute of technology,gatech.edu,2008,,4
2019-05,BOX,2019-09-09,34G8HgVGBCi5qDC93uP8tg_0000,37,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,masters,2008,engineering,united states,specs@ltu,ltu.edu,2007,2,,2006,real estate,linkedin.com/company/zillow,united states,seattle,"seattle, washington, united states",washington,zillow,zillow.com,senior,senior devops engineer,engineering,devops,engineering,male,devops,devops big data engineer,bachelors,2003,electronics,india,jawaharlal nehru technological university,jntu.ac.in,1999,11,16
2013-11,BOX,2019-12-07,HBLUXy1n7nzE6kBo5sAurg_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,3,manager,2007,marketing and advertising,linkedin.com/company/nextroll,united states,san francisco,"san francisco, california, united states",california,nextroll,nextroll.com,manager,lead user experience,design,product_design,design,male,product_design,user experience lead,bachelors,2003,psychology,,,,1999,,10
2020-06,BOX,2023-08-01,CzT0B2M9ATKIitwQEu6aOg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,1997,food & beverages,linkedin.com/company/premier-nutrition,united states,emeryville,"emeryville, california, united states",california,premier nutrition: the good energy people,premiernutrition.com,,marketing project manager,operations,project_management,marketing,female,marketing_communications,customer marketing communications manager,bachelors,2012,marketing,united states,university of arizona,arizona.edu,2008,,8
2021-11,BOX,2023-07-28,W8OhtEvXxyfexZT6B7ALyA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2012,accounting,united states,siena college,siena.edu,2011,0,manager,2006,music,linkedin.com/company/spotify,sweden,,sweden,,spotify,spotify.com,manager,senior security risk manager,,,,female,,"senior manager, it internal audit",bachelors,2011,accounting,united states,siena college,siena.edu,2007,9,10
2013-04,BOX,2016-12-25,PF9ciXFXEi1LlFVif4cGCA_0000,25,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,2004,internet,linkedin.com/company/meta,united states,menlo park,"menlo park, california, united states",california,meta,meta.com,,product marketing,marketing,product,,male,,platform development,bachelors,2011,government,united states,harvard university,harvard.edu,2007,,2
2021-04,BOX,2021-09-08,wc1YOorTPjVNRX3o8YnJ4A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,vp,1887,higher education,linkedin.com/company/california-state-university-chico,united states,chico,"chico, california, united states",california,"california state university, chico",csuchico.edu,,cybersecurity advisor,,,,male,,"vice president, products - security and compliance",,,,,,,,,
2022-04,BOX,2022-05-14,wc1YOorTPjVNRX3o8YnJ4A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,vp,2004,venture capital & private equity,linkedin.com/company/first-round-capital,united states,san francisco,"san francisco, california, united states",california,first round capital,,,advisor,,,,male,,"vice president, products - enterprise, security, and compliance",,,,,,,,,
2020-09,BOX,2021-01-08,k8dw5d7LsiQLoF8v88bhNA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,senior,2008,computer software,linkedin.com/company/github,united states,san francisco,"san francisco, california, united states",california,github,github.com,manager,senior product marketing manager,marketing,product,engineering,female,,senior developer advocate,,,,,,,,,
2015-08,BOX,2023-11-01,0DaHlLjij4H91dcxH44glA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,computer science,united states,ucla,ucla.edu,2014,0,training,1919,higher education,linkedin.com/company/ucla,united states,los angeles,"los angeles, california, united states",california,ucla,ucla.edu,,graduate teaching assistant,,,engineering,,software,software engineering intern,bachelors,2014,electrical engineering,united states,"university of california, berkeley",berkeley.edu,2010,,1
2018-02,BOX,2023-11-01,0DaHlLjij4H91dcxH44glA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2016,computer science,united states,ucla,ucla.edu,2014,2,,2008,internet,linkedin.com/company/jwplayer,united states,,"new york, united states",new york,jw player,jwplayer.com,,software engineer,engineering,software,engineering,,software,software engineer,bachelors,2014,electrical engineering,united states,"university of california, berkeley",berkeley.edu,2010,2,4
2018-09,BOX,2021-09-08,wfMG3B2v9Dv0gDtvfO4PnA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,sweden,,,,,,,,3,,2017,wholesale,linkedin.com/company/greenmouseinternational,netherlands,,netherlands,,greenmouse international b.v,greenmouse.green,,independent sales agent,sales,accounts,sales,male,accounts,nordic strategics sales,,,,,,,,,
2014-02,BOX,2016-12-25,dWPsAiazhzB7DDcfusTfGw_0000,39,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,3,,2013,entertainment,linkedin.com/company/shots,united states,los angeles,"los angeles, california, united states",california,shots studios,shots.com,,principal web developer,engineering,web,engineering,male,,senor full stack engineer,bachelor of science in engineering,1997,computer engineering,,university of michigan,,1993,,17
2018-12,BOX,2024-03-11,E1fqDF9TWUBxUG-mpN1E8g_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,1987,computer & network security,linkedin.com/company/mcafee,united states,san jose,"san jose, california, united states",california,mcafee,mcafee.com,,customer advisory board member,,,engineering,,information_technology,chief information officer advisory board member,bachelors,2001,computer science,,rutgers university,,1997,,17
2015-01,BOX,2016-12-25,YgHihZSOyz0zS8Ub0-FohQ_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,brazil,,,,,,,,3,,1971,"health, wellness and fitness",linkedin.com/company/unimedportoalegre,brazil,porto alegre,"porto alegre, rio grande do sul, brazil",rio grande do sul,unimed porto alegre,unimedpoa.com.br,,analista de intercâmbio,,,,male,,administrador de empresas,,,,,,,,,
2015-06,BOX,2019-12-07,-MLdn6OrB3PD3-BH4QGnVw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,1999,internet,linkedin.com/company/salesforce,united states,san francisco,"san francisco, california, united states",california,salesforce,salesforce.com,,enterprise account executive | salesforce marketing cloud,engineering,accounts,sales,male,accounts,enterprise account executive,,,,,,,,,
2016-12,BOX,2018-11-11,TfT4RYj3Ng3Kl4TNvPIr4g_0000,29,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2011,electronics engineering,united states,penn state university,psu.edu,2005,2,,2004,internet,linkedin.com/company/meta,united states,menlo park,"menlo park, california, united states",california,meta,meta.com,,solutions architect,customer_service,customer_success,sales,female,accounts,sales engineer,bachelors,2009,electronics engineering,united states,penn state university,psu.edu,2005,5,7
2019-12,BOX,2020-03-19,ZU6aV9pnT0twN9FRgZ5knQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,2002,computer software,linkedin.com/company/qualtrics,ireland,dublin,"dublin, dublin, ireland",dublin,qualtrics,qualtrics.com,,enterprise account executive,sales,accounts,sales,male,accounts,strategic account executive,bachelors,1988,business administration,united states,university of north carolina at chapel hill,unc.edu,1984,,31
2021-01,BOX,2021-02-12,hdHSvhUGY8eVHSHBZFuSLw_0000,39,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,2013,marketing and advertising,linkedin.com/company/bluecore,united states,new york,"new york, new york, united states",new york,bluecore,bluecore.com,director,director strategic accounts,operations,,sales,male,accounts,enterprise account executive,,,,,,,,,
2021-09,BOX,2022-11-15,555e15AwpKlO9YlKe3uzOQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,senior,2012,financial services,linkedin.com/company/affirm,united states,san francisco,"san francisco, california, united states",california,affirm,affirm.com,,staff software engineer,engineering,software,sales,male,accounts,senior salesforce technical architect,bachelors,2004,computer science,united states,cal poly pomona career center,cpp.edu,2000,,17
2018-03,BOX,2021-08-29,JflWX3hcYmk4wYhHybvj6w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,director,2014,internet,linkedin.com/company/outreach-saas,united states,seattle,"seattle, washington, united states",washington,outreach,outreach.io,director,"director, grc",,,,male,,director of compliance,,,,,,,,,
2022-10,BOX,2023-07-01,AfZjTyjBPgGRXdgT28Wlvw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,2019,,linkedin.com/company/gleanwork,united states,palo alto,"palo alto, california, united states",california,glean,glean.com,,strategic account executive,sales,accounts,sales,male,accounts,strategic account executive,bachelors,1994,biology,united states,"university of california, davis",ucdavis.edu,1992,,28
2017-09,BOX,2023-01-23,Y3WyvAydDuwYBzh4Uc9BJw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,manager,,professional training & coaching,linkedin.com/company/a-plan-coaching,united states,brooklyn,"brooklyn, new york, united states",new york,a)plan coaching,a-plancoaching.com,director,head of revenue,sales,business_development,marketing,male,brand_marketing,engagement executive and executive change lead,,,,,,,,,
2021-08,BOX,2023-11-01,ihM2Xhg3u2AKp7nLMcl61w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,1964,market research,linkedin.com/company/idc,united states,needham,"needham, massachusetts, united states",massachusetts,idc,idc.com,,front-end designer,design,,,female,,project development manager,bachelors,2015,business economics,united states,california institute of arts & technology,ciat.edu,2011,,6
2014-05,BOX,2019-12-07,4yq0b8OKLOSPoekTaIwndg_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,2,,1996,real estate,linkedin.com/company/realtor-com,united states,santa clara,"santa clara, california, united states",california,realtor.com,realtor.com,,business development representative,sales,business_development,sales,male,accounts,corporate account executive,,,,,,,,,
2018-09,BOX,2018-10-11,UBVUEy0RUE7awwSP2VdiGA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,canada,,,,,,,,1,director,2007,computer software,linkedin.com/company/mongodbinc,united states,new york,"new york, new york, united states",new york,mongodb,mongodb.com,,enterprise account executive,sales,accounts,,male,,account director,,,,,,,,,
2019-04,BOX,2019-09-09,igMRzT2dbUphpbo4Vksa6A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,manager,1984,computer networking,linkedin.com/company/cisco,united states,san jose,"san jose, california, united states",california,cisco,cisco.com,manager,executive recruiting manager,human_resources,recruiting,human_resources,female,recruiting,"senior executive talent partner, build team lead",bachelors,1994,composition,united states,mills college,mills.edu,1994,,25
2014-08,BOX,2020-03-02,XbtKTVQdA9SJ81uZN6a8rw_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,israel,,,,,,,,1,manager,2014,individual & family services,linkedin.com/company/yuval-hoftman,israel,,israel,,yuval hoftman - startup consultant,yuval-hoftman.strikingly.com,,startup consultant,,,,,,hub manager,bachelors,2009,business administration,,,,2006,,5
2016-04,BOX,2021-02-18,G5F3BvdT2MGJBJX6902fbg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,,,,,,,,1,manager,2007,internet,linkedin.com/company/dropbox,united states,san francisco,"san francisco, california, united states",california,dropbox,dropbox.com,manager,public relations and communications lead for growth markets,human_resources,,human_resources,male,,emea communications manager,,,,,,,,,
2020-04,BOX,2021-06-10,-ZCdSSXnQk9ihM5yB7isWw_0000,46,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,6,director,2012,non-profit organization management,linkedin.com/company/growmyfuture,united states,oakland,"oakland, california, united states",california,g.r.o.w.,growmyfuture.org,vp,board of directors - vice president,,,,male,,director and founding executive director of box.org,bachelors,1996,media management,united states,university of kansas,ku.edu,1992,,24
2020-04,BOX,2020-11-30,mRtwGy76ziob6I6GrP9W4w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,,1876,telecommunications,linkedin.com/company/att,united states,dallas,"dallas, texas, united states",texas,at&t,att.com,,client solutions executive,,,operations,,,box business fellowship,bachelors,2020,political science and government,united states,emory university,emory.edu,2018,,0
2014-06,BOX,2022-09-05,KIaPHgyc5LOe0BiqHPDyOw_0000,32,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,3,manager,2012,design,linkedin.com/company/figma,united states,san francisco,"san francisco, california, united states",california,figma,figma.com,,advisor,,,engineering,male,software,engineering manager and senior software engineer,bachelors,2004,computer engineering,,california polytechnic state university - san luis obispo,,2000,,10
2022-01,BOX,2022-03-31,rLbRZkxsqsgBVy55g6kpMQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,2004,business administration,united states,university of florida - warrington college of business,warrington.ufl.edu,2002,4,director,2013,internet,linkedin.com/company/whatfix,united states,san jose,"san jose, california, united states",california,whatfix,whatfix.com,senior,senior director | strategic expansion | americas,operations,,sales,male,accounts,director of enterprise sales - us southeast at box,bachelors,1996,english,united states,vanderbilt university,vanderbilt.edu,1992,18,26
2018-06,BOX,2019-12-07,tKCsGpOe0lmVZFCg8lk0xQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,,2004,venture capital & private equity,linkedin.com/company/uncorkcapital,united states,palo alto,"palo alto, california, united states",california,uncork capital,uncorkcapital.com,,research project - pt,education,researcher,,,,associate,bachelors,2012,accounting,,university brunei darussalam,,2008,,6
2022-08,BOX,2022-09-30,RVLYNT06BTo9ArU56BJyew_0000,51,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,,2014,internet,linkedin.com/company/stellar-development-foundation,united states,san francisco,"san francisco, california, united states",california,stellar.org,stellar.org,,sre,,,,male,,sre,bachelors,1993,mathematics,united states,new mexico institute of mining and technology,nmt.edu,1989,,29
2008-04,BOX,2016-12-25,1mSrrbUxPbc1NjrqNxVk1g_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united kingdom,,,,,,,,1,,,,,,,,,abc nightclub,,,public relations,public_relations,,public_relations,female,events,public relations and event manager,,,management,united kingdom,glasgow caledonian university,gcu.ac.uk,2005,,
2015-12,BOX,2021-02-12,aqWD506Zey7bjhxHrpBmRA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,netherlands,,,,,,,,1,director,1972,computer software,linkedin.com/company/sap,germany,,germany,,sap,sap.com,senior,senior sales executive - sap concur,sales,accounts,operations,male,,strategic account director - benelux,,,,,,,,,
2021-08,BOX,2021-08-27,6Du8savcZhQMLeRyuXbNsA_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,5,,2013,marketing and advertising,linkedin.com/company/bluecore,united states,new york,"new york, new york, united states",new york,bluecore,bluecore.com,,strategic account executive,sales,accounts,sales,female,accounts,large enterprise account executive,bachelors,2010,marketing,united states,james madison university,jmu.edu,2006,,11
2017-03,BOX,2018-11-11,VQB9YK8a0JF5pCPKskfBJw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,,1983,restaurants,linkedin.com/company/jimmy-john's,united states,sandy springs,"sandy springs, georgia, united states",georgia,jimmy john's,jimmyjohns.com,,guerrilla marketer,,,operations,female,,business fellow,bachelors,2017,advertising,united states,the university of texas at austin,utexas.edu,2013,,0
2020-09,BOX,2020-11-30,P8iEBc3cwpnG7aYmvrhXtQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,2008,internet,linkedin.com/company/twilio-inc-,united states,san francisco,"san francisco, california, united states",california,twilio,twilio.com,manager,senior customer success manager,customer_service,customer_success,customer_service,,customer_success,customer success manager,,,,,,,,,
2018-05,BOX,2018-10-11,ll2doJFGsJsLST7x7TNbwQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,senior,2004,internet,linkedin.com/company/meta,united states,menlo park,"menlo park, california, united states",california,meta,meta.com,,"executive assistant, vice president commerce",,,finance,female,,senior executive assistant to co-founder and chief financial officer and vice president of ir,,,,,,,,,
2010-08,BOX,2016-12-25,MfHL0PK4m0jycbchjUB23A_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,3,,1956,retail,linkedin.com/company/ripley,chile,santiago,"santiago, santiago metropolitan, chile",santiago metropolitan,ripley chile,trabajando.com,senior,diseñadora senior para index y barbados hombre,,,,female,,"jefa de proyectos, dpto grafico",bachelors,2003,design,chile,university of chile,uchile.cl,2002,,7
2013-05,BOX,2016-12-25,2DrZU5PomY9pbAT6cLKG3g_0000,44,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,manager,2012,information technology and services,linkedin.com/company/autopilot-app,australia,sydney,"sydney, new south wales, australia",new south wales,autopilot - now ortto,autopilothq.com,director,head of demand generation,,,operations,male,,senior acquisitions manager - nurture programs,,,,,,,,,
2018-04,BOX,2018-10-11,ekhmRXBltVmfypEBhOjC4w_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,4,manager,2010,internet,linkedin.com/company/hoteltonight,united states,san francisco,"san francisco, california, united states",california,hoteltonight,hoteltonight.com,manager,recovery operations manager,operations,,sales,female,business_development,"team lead, revenue operations",bachelors,2013,marketing,united states,carnegie mellon university - tepper school of business,tepper.cmu.edu,2009,,5
2020-05,BOX,2021-02-12,Wm0rOVLZfR1YsvVfuyTzqA_0000,44,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,2003,computer software,linkedin.com/company/docusign,united states,san francisco,"san francisco, california, united states",california,docusign,docusign.com,manager,"senior customer success manager, enterprise",customer_service,customer_success,customer_service,male,customer_success,senior customer success manager,bachelors,2002,business administration,united states,mount vernon nazarene university,mvnu.edu,1998,,18
2019-09,BOX,2023-01-16,FXS5tdC2G0G5NoLtN5bkUg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,,2007,computer software,linkedin.com/company/logicmonitor,united states,santa barbara,"santa barbara, california, united states",california,logicmonitor,logicmonitor.com,,enterprise account executive - tola,sales,accounts,sales,male,accounts,mid market account executive,,,,,,,,,
2014-03,BOX,2018-03-05,0125p937XkIN6ZGaT-Mvyw_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,1,,2011,internet,linkedin.com/company/helpshift,united states,san francisco,"san francisco, california, united states",california,helpshift,helpshift.com,director,head of business development,sales,business_development,sales,male,business_development,business development representative,,,communication,honduras,uc santa barbara,ucsb.edu,2005,,
2022-06,BOX,2022-06-23,e7rcY1DTHaIOOavSyFPG2A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2008,journalism,united states,columbia university - graduate school of journalism,journalism.columbia.edu,2007,2,vp,2019,internet,linkedin.com/company/watershedclimate,united states,san francisco,"san francisco, california, united states",california,watershed,watershed.com,director,head of marketing,marketing,,marketing,female,product,vice president product marketing,bachelors,2003,geology,united states,dartmouth college,home.dartmouth.edu,1999,14,19
2014-03,BOX,2016-12-25,ScVIXhYWyWlInpI21RYYKg_0000,30,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,2,,1999,computer software,linkedin.com/company/applied-predictive-technologies,united states,arlington,"arlington, virginia, united states",virginia,applied predictive technologies,predictivetechnologies.com,,enterprise sales,sales,accounts,sales,male,accounts,account executive,bachelors,2006,business management,,georgetown university,,2002,,8
2020-04,BOX,2022-11-15,GVSgYUBC1koqmT0PROsWTQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of science,2003,computer science,united states,stony brook university,stonybrook.edu,2001,2,manager,1984,computer networking,linkedin.com/company/cisco,united states,san jose,"san jose, california, united states",california,cisco,cisco.com,manager,sre manager,,,,,,"sre manager, kubernetes",,,,,,,,17,
2015-04,BOX,2019-12-07,dB0xsnmcgyrwMrp1cqzYww_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,,2015,information technology and services,linkedin.com/company/strypes-co,united states,oakland,"oakland, california, united states",california,strypes co,strypes.co,owner,chief executive officer and co-founder,,,sales,female,accounts,enterprise sales,,,,,,,,,
2012-01,BOX,2022-01-10,tD94NiNq5x7MurYaZTTmZQ_0000,29,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,6,manager,2012,information technology and services,linkedin.com/company/premise-data,united states,san francisco,"san francisco, california, united states",california,premise,premise.com,,product marketing,marketing,product,marketing,male,product,product marketing manager,,,,,,,,,
2014-05,BOX,2016-12-25,YJn8RVVfp44QCv6C2eleMQ_0000,31,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,2,,1984,information technology and services,linkedin.com/company/delltechnologies,united states,round rock,"round rock, texas, united states",texas,dell technologies,delltechnologies.com,,product sales specialist at syncplicity,sales,accounts,sales,male,accounts,enterprise account manager,bachelors,2004,finance,,texas mccombs school of business,,2001,,10
2021-01,BOX,2021-06-10,kGvB5tXg2UkshpeqqMtVgw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,,1999,internet,linkedin.com/company/salesforce,united states,san francisco,"san francisco, california, united states",california,salesforce,salesforce.com,director,strategic account director - global pharma,operations,,sales,male,accounts,strategic account executive,bachelors,1980,,,pennsylvania state university,,1976,,41
2014-08,BOX,2016-12-25,clwiRFYAPf-74CRIOERBCA_0000,,2005,internet,linkedin.com/company/box,Box,private,box.com,united states,,,,,,,,0,training,2013,e-learning,linkedin.com/company/hack-brown,united states,providence,"providence, rhode island, united states",rhode island,hack@brown,hackatbrown.org,director,treasurer director and logistics member,operations,logistics,operations,female,,analytics technical operations intern,,,computer science,united states,brown university,brown.edu,2013,,
2022-07,BOX,2023-07-01,gHj6G2UPoKDwyKS5X98zCQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,senior,,financial services,linkedin.com/company/10east,united states,new york,"new york, new york, united states",new york,10 east,10east.co,,principal engineer,engineering,,engineering,male,software,senior software engineer,,,,,,,,,
2016-12,BOX,2019-12-07,FhdYPGvfeo5JYBd4-bU5IA_0000,39,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,2005,marketing,,,,2003,2,manager,1996,information technology and services,linkedin.com/company/f5,united states,seattle,"seattle, washington, united states",washington,f5 networks,f5.com,,advisor to chief marketing officer,marketing,,sales,male,accounts,"general manager, online sales business unit",bachelors,1999,sports management,,,,1995,11,17
2019-04,BOX,2019-12-07,FhdYPGvfeo5JYBd4-bU5IA_0000,42,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,2005,marketing,,,,2003,2,vp,1982,computer software,linkedin.com/company/adobe,united states,san jose,"san jose, california, united states",california,adobe,adobe.com,director,"head of smb and enterprise marketing, digital media",marketing,,marketing,male,,"vice president, digital marketing",bachelors,1999,sports management,,,,1995,14,20
2018-09,BOX,2019-02-12,TqVAiuDBYNy49Jwedj-MOQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,3,senior,1999,internet,linkedin.com/company/salesforce,united states,san francisco,"san francisco, california, united states",california,salesforce,salesforce.com,,talent advisory - enterprise sales,sales,accounts,human_resources,male,recruiting,senior talent acquisition partner,,,,,,,,,
2019-01,BOX,2019-09-09,1euBxtFCZNZfTuUyJUzn7w_0000,30,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,2,,1998,computer software,linkedin.com/company/vmware,united states,palo alto,"palo alto, california, united states",california,vmware,vmware.com,senior,"senior analyst, deal management team",,,,female,,deal desk analyst,bachelors,2012,communication,united states,university of pittsburgh,pitt.edu,2007,,7
2022-11,BOX,2023-01-21,rtRDlO7iv93dUQIb5-oGYQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,masters,2014,mathematics,united kingdom,university of oxford,ox.ac.uk,2010,0,senior,1981,financial services,linkedin.com/company/bloomberg,united states,new york,"new york, new york, united states",new york,bloomberg,bloomberg.com,,ai research engineer,education,researcher,engineering,,,senior machine learning engineer,,,,,,,,8,
2015-06,BOX,2019-12-07,g4IHrE7IMBdJ4aP21TPM8A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,master of business administration,2009,marketing,united states,kellogg executive education,kellogg.northwestern.edu,2007,1,director,,,,,,,,digital core campaign,,director,head of finance and operations,finance,,operations,male,,"director, strategic planning and analysis",bachelors,2002,economics,united states,columbia university,columbia.edu,1998,6,13
2016-02,BOX,2017-12-04,aTEMVxeIDx8IMOUg2gAjbw_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,1,manager,1978,electrical/electronic manufacturing,linkedin.com/company/trimble,united states,sunnyvale,"sunnyvale, california, united states",california,trimble inc.,trimble.com,,workday consultant,,,engineering,female,systems,senior enterprise systems manager,,,,,,,,,
2019-08,BOX,2023-01-16,QJsvf9raC9fkEm1JqcCBRQ_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united states,,,,,,,,0,training,1868,higher education,linkedin.com/company/uc-berkeley,united states,berkeley,"berkeley, california, united states",california,uc berkeley,berkeley.edu,,teacher assistant,education,teacher,engineering,female,software,software engineer intern,,,electrical engineering,united states,"university of california, berkeley",berkeley.edu,2016,,
2018-01,BOX,2023-10-09,IvjqszWvN5wGvYRz-V6J6A_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,philippines,,,,,,,,2,,1997,internet,linkedin.com/company/rakuten,japan,tokyo,"tokyo, tokyo, japan",tokyo,rakuten,rakuten.com,,help desk specialist,,,customer_service,,support,technical support specialist,,,,,,,,,
2020-06,BOX,2023-08-01,eyPVDvpqaJXy6eOl6skaIg_0000,,2005,internet,linkedin.com/company/box,Box,public,box.com,united kingdom,masters,2018,computer science,united kingdom,oxford brookes university,brookes.ac.uk,2017,1,,1841,mental health care,linkedin.com/company/the-royal-college-of-psychiatrists,united kingdom,london,"london, greater london, united kingdom",greater london,the royal college of psychiatrists,rcpsych.ac.uk,,casc examination it on-boarding and support assistant,customer_service,support,engineering,female,network,network operations center technician,bachelors,2016,computer science,united kingdom,university of wolverhampton,wlv.ac.uk,2012,2,4
